서대문자연사박물관,박물관,서울 서대문구 연희로32길 51,유익해요,전시 구성이 알차요,아이와 가기 좋아요,전시 테마가 재밌어요,설명이 잘 되어있어요
안산자락길,산책로,서울 서대문구 봉원사길 75-66,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,자연 경관이 좋아요,사진이 잘 나와요
서대문형무소역사관,박물관,서울 서대문구 통일로 251 서대문형무소역사관,유익해요,전시 구성이 알차요,설명이 잘 되어있어요,아이와 가기 좋아요,공간이 넓어요
-,-,-,-,-,-,-,-
서대문독립공원,테마공원,서울 서대문구 통일로 247 독립문역,주차하기 편해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,볼거리가 많아요,뷰가 좋아요
-,-,-,-,-,-,-,-
독립문문화공원,근린공원,서울 서대문구 영천동 263,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,방문객이 많아요
서대문 안산,산,서울 서대문구 봉원동,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,대중교통이 편해요
-,-,-,-,-,-,-,-
창천근린공원,근린공원,서울 서대문구 창천동 4-55,산책로가 잘 되어있어요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요,대중교통이 편해요,뷰가 좋아요
-,-,-,-,-,-,-,-
독립문,기념물,서울 서대문구 현저동 941,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요,붐비지 않아요
-,-,-,-,-,-,-,-
연세대학교 윤동주기념관,박물관,서울 서대문구 연세로 50 핀슨관,유익해요,가격이 합리적이에요,설명이 잘 되어있어요,공간이 넓어요,전시 구성이 알차요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
백련산,산,서울 서대문구 홍은동,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,대중교통이 편해요,산책로가 잘 되어있어요
안산벚꽃길,"거리,골목",서울 서대문구 연희동,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요
연세대학교신촌캠퍼스박물관,박물관,서울 서대문구 연세로 50,유익해요,설명이 잘 되어있어요,전시 구성이 알차요,전시 테마가 재밌어요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
안산,산,서울 서대문구 봉원동,뷰가 좋아요,사진이 잘 나와요,근처에 갈 곳이 많아요,대중교통이 편해요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
104고지전적비,기념물,서울 서대문구 연희동 산100-1,사진이 잘 나와요,볼거리가 많아요,붐비지 않아요,가격이 합리적이에요,관리가 잘 되어있어요
불광천,"강,하천",서울 서대문구 북가좌동,뷰가 좋아요,사진이 잘 나와요,방문객이 많아요,경관이 독특해요,반려동물과 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
연세대학교 신촌캠퍼스광혜원,"문화,유적",서울 서대문구 연세로 50-1 연세의료원,주차하기 편해요,볼거리가 많아요,설명이 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요
디저트39 독립문문화공원점,카페,서울 서대문구 통일로 203 1층,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,가성비가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
옛신촌역사,국가유산,서울 서대문구 신촌동,사진이 잘 나와요,주차하기 편해요,가격이 합리적이에요,관리가 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
현대백화점 신촌점 유플렉스,백화점,서울 서대문구 연세로 13 현대백화점신촌점유플렉스,종류가 다양해요,친절해요,특색 있는 제품이 많아요,가성비가 좋아요,품질이 좋아요
-,-,-,-,-,-,-,-
현대백화점 신촌점,백화점,서울 서대문구 신촌로 83 현대백화점신촌점,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
사러가,시장,서울 서대문구 연희맛로 23 사러가,특색 있는 제품이 많아요,시설이 깔끔해요,종류가 다양해요,주차하기 편해요,친절해요
유어마인드,독립서점,서울 서대문구 연희로11라길 10-6 2층 우측,독특한 책이 많아요,책 종류가 다양해요,시설이 깔끔해요,카페 같은 분위기에요,신간이 빨리 들어와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
원즈오운,베이커리,서울 서대문구 이화여대길 20 1층,빵이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
홍익문고,서점,서울 서대문구 연세로 2 홍익문고,책 종류가 다양해요,시설이 깔끔해요,원하는 책을 찾기 쉬워요,신간이 빨리 들어와요,베스트셀러가 많아요
-,-,-,-,-,-,-,-
밤의서점,서점,서울 서대문구 성산로 567-8 1층,독특한 책이 많아요,책 종류가 다양해요,시설이 깔끔해요,책 읽기 쾌적해요,카페 같은 분위기에요
-,-,-,-,-,-,-,-
만동제과 연남점,베이커리,서울 서대문구 연희로 32,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-
스웨이커피스테이션,"카페,디저트",서울 서대문구 연희로11길 61,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
쏘블루,서점,서울 서대문구 증가로 27 1층,컨셉이 독특해요,시설이 깔끔해요,인테리어가 멋져요,카페 같은 분위기에요,아늑해요
스타벅스 이대점,카페,서울 서대문구 이화여대길 34 (대현동),커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
-,-,-,-,-,-,-,-
인스크립트,서점,서울 서대문구 증가로 49-1 1층,카페 같은 분위기에요,독특한 책이 많아요,시설이 깔끔해요,책 읽기 쾌적해요,책 종류가 다양해요
피터팬1978,베이커리,서울 서대문구 증가로 10,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
-,-,-,-,-,-,-,-
매뉴팩트커피 연희 본점,카페,서울 서대문구 연희로11길 29 2층,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
서대문키즈헬스케어센터 아이랑,"키즈카페,실내놀이터",서울 서대문구 백련사길 39 서대문문화체육회관 1층 아이랑,가격이 합리적이에요,안전하게 관리해요,부모도 쉬기 좋아요,테마가 재미있어요,놀거리가 많아요
서울의시간을그리다,서점,서울 서대문구 독립문로 31-6 한옥,책 읽기 쾌적해요,카페 같은 분위기에요,시설이 깔끔해요,독특한 책이 많아요,책 종류가 다양해요
-,-,-,-,-,-,-,-
10593 베이글커피하우스 신촌점,"카페,디저트",서울 서대문구 명물길 28 1층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음식이 맛있어요
-,-,-,-,-,-,-,-
카페폭포,"카페,디저트",서울 서대문구 연희로 262-24,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요,대화하기 좋아요,야외공간이 멋져요
파이홀,카페,서울 서대문구 연세로5나길 20,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
프로토콜 연희점,"카페,디저트",서울 서대문구 연희로 109 2층,커피가 맛있어요,집중하기 좋아요,인테리어가 멋져요,친절해요,사진이 잘 나와요
비밀베이커리 이대점,베이커리,서울 서대문구 이화여대7길 48 1층 비밀베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
포방터시장,시장,서울 서대문구 포방터2길 11 포방터배송센터,분위기가 편안해요,친절해요,주차하기 편해요,가성비가 좋아요,볼거리가 많아요
-,-,-,-,-,-,-,-
폴앤폴리나,베이커리,서울 서대문구 연희로11길 56,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
고르드,"카페,디저트",서울 서대문구 명물길 42 우성빌딩,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
블랙번즈,"카페,디저트",서울 서대문구 연세로7안길 42 2층 블랙번즈,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요
카페 세러데이즈,"카페,디저트",서울 서대문구 경기대로 68 1층 카페세러데이즈,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
포티드,"카페,디저트",서울 서대문구 명물길 36-3 1층,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
오르랔베이커리,베이커리,서울 서대문구 신촌로 241,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
비플러스,"카페,디저트",서울 서대문구 응암로 95 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,뷰가 좋아요
데카르트 수학책방,서점,서울 서대문구 불광천길 116 2층,독특한 책이 많아요,책 종류가 다양해요,책 읽기 쾌적해요,시설이 깔끔해요,원하는 책을 찾기 쉬워요
오트 연희,브런치카페,서울 서대문구 연희로25길 95 오트,음식이 맛있어요,인테리어가 멋져요,뷰가 좋아요,친절해요,재료가 신선해요
-,-,-,-,-,-,-,-
티앙팡 오후의 홍차,카페,서울 서대문구 이화여대길 34 2층,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
연희 에스프레소 바,"카페,디저트",서울 서대문구 연희로11가길 39 1층,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,음료가 맛있어요
그릭데이 이대본점,"카페,디저트",서울 서대문구 신촌역로 22-8,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,친절해요
마더린러 베이글,베이글,서울 서대문구 이화여대5길 5 지상 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
앤트러사이트 연희점,"카페,디저트",서울 서대문구 연희로 135 앤트러사이트 연희점,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,디저트가 맛있어요,친절해요
헬로방방 남가좌충암점,"키즈카페,실내놀이터",서울 서대문구 명지대길 103 7층,놀거리가 많아요,가격이 합리적이에요,친절해요,매장이 청결해요,부모도 쉬기 좋아요
카페 마,"카페,디저트",서울 서대문구 연희로11가길 48-10,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
크레페마스터 연세대점,"카페,디저트",서울 서대문구 신촌로 87-8 1층 크레페마스터,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,음료가 맛있어요
본지르르 연희,카페,서울 서대문구 연희로 189-16 단독주택,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,뷰가 좋아요
꽃그리는아이 서대문점,"키즈카페,실내놀이터",서울 서대문구 모래내로 411 홍제금호어울림 상가동 B101호,친절해요,테마가 재미있어요,매장이 청결해요,부모도 쉬기 좋아요,주차하기 편해요
리히트,케이크전문,서울 서대문구 연희로4길 10 리히트,디저트가 맛있어요,특별한 메뉴가 있어요,선물하기 좋아요,가성비가 좋아요,친절해요
꽃피다이화다방,카페,서울 서대문구 이화여대길 75 이화타워8층 이화다방,집중하기 좋아요,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
카페페라,"카페,디저트",서울 서대문구 이화여대8길 2 1층 카페 페라,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
호풀리,"카페,디저트",서울 서대문구 통일로39길 43 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
스타벅스 신촌점,카페,서울 서대문구 연세로 10-1 (창천동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,집중하기 좋아요
통인동커피공방 신촌로스팅라이브러리,카페,서울 서대문구 연세로 13 유플렉스 12층,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,사진이 잘 나와요,친절해요
니치니치 베이커리,베이커리,서울 서대문구 세무서8길 30 홍제역 해링턴플레이스 상가1층 22호 니치니치 베이커리,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-
