주렁주렁 동물원 영등포점,동물원-일반,"서울 영등포구 영중로 15 타임스퀘어 4층, 5층",테마가 재미있어요,놀거리가 많아요,체험 프로그램이 많아요,친절해요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
-,-,-,-,-,-,-,-
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
YDP곤충체험학습관,박물관,서울 영등포구 선유동1로 80 영등포구 별관청사 E동,유익해요,아이와 가기 좋아요,체험 프로그램이 다양해요,설명이 잘 되어있어요,가격이 합리적이에요
SeaLaLa워터파크,워터파크,서울 영등포구 문래로 164 지하 2층,시설이 깔끔해요,안전하게 관리해요,가격이 합리적이에요,주차하기 편해요,수질 관리가 잘돼요
만천곤충박물관,박물관,"서울 영등포구 영등포로 187 4, 5층",가격이 합리적이에요,유익해요,아이와 가기 좋아요,전시 구성이 알차요,전시 테마가 재밌어요
양화 한강공원,시민공원,서울 영등포구 노들로 113 양화개나리점,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요
-,-,-,-,-,-,-,-
여의도 샛강생태공원,"자연,생태공원",서울 영등포구 여의도동 49,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
여의도물빛광장,광장,서울 영등포구 여의도동 한강남자전거길 1451 한강르네상스 여의도3호 매점,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,아이와 가기 좋아요,볼거리가 많아요
영등포공원,"도시,테마공원",서울 영등포구 영등포동 신길로 275,주차하기 편해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요
문래근린공원,근린공원,서울 영등포구 문래동3가 61,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
윤중로벚꽃길,"거리,골목",서울 영등포구 여의도동,뷰가 좋아요,산책로가 잘 되어있어요,방문객이 많아요,사진이 잘 나와요,관리가 잘 되어있어요
안양천제방벚꽃길,"거리,골목",서울 영등포구 양평동,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
여의도한강공원서울색공원,시민공원,서울 영등포구 여의도동 84,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,방문객이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
국회의사당잔디마당,광장,서울 영등포구 의사당대로 1,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요
당산역소공원,"도시,테마공원",서울 영등포구 당산동5가 9-29,뷰가 좋아요,가격이 합리적이에요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
신세계백화점 타임스퀘어점,백화점,서울 영등포구 영중로 9,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,특색 있는 제품이 많아요
-,-,-,-,-,-,-,-
IFC몰,"쇼핑센터,할인매장",서울 영등포구 여의도동 국제금융로 10 서울 국제금융 센터,종류가 다양해요,친절해요,매장이 넓어요,가성비가 좋아요,시설이 깔끔해요
-,-,-,-,-,-,-,-
현대백화점 더현대 서울,백화점,서울 영등포구 여의대로 108 더현대 서울,종류가 다양해요,친절해요,특색 있는 제품이 많아요,매장이 넓어요,품질이 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
롯데백화점 영등포점,백화점,서울 영등포구 영등포동 경인로 846,종류가 다양해요,친절해요,품질이 좋아요,가성비가 좋아요,주차하기 편해요
타임스퀘어,"쇼핑센터,할인매장",서울 영등포구 영중로 15 타임스퀘어,친절해요,종류가 다양해요,매장이 넓어요,시설이 깔끔해요,품질이 좋아요
윤비타 아파트먼트,"키즈카페,실내놀이터",서울 영등포구 영등포로 150 생각공장 당산 B동 710호,매장이 청결해요,놀거리가 많아요,공간이 넓어요,친절해요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
베틀한복 영등포점,한복대여,서울 영등포구 양평로23길 7 B1,옷이 예뻐요,친절해요,상담이 자세해요,옷이 다양해요,스타일 추천을 잘해줘요
테이블뷰,"오락,레저용품",서울 영등포구 여의대방로 417 지하1층 11호,친절해요,뷰가 좋아요,야외공간이 멋져요,음식이 맛있어요,가성비가 좋아요
-,-,-,-,-,-,-,-
뽀로로파크 롯데마트맥스 영등포점,"키즈카페,실내놀이터",서울 영등포구 영중로 125 롯데마트맥스 영등포점 2층,놀거리가 많아요,테마가 재미있어요,친절해요,매장이 청결해요,주차하기 편해요
한복 나빛,한복대여,서울 영등포구 영신로40길 15 거양빌딩 1층,옷이 다양해요,옷이 예뻐요,친절해요,사이즈가 다양해요,상담이 자세해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
챔피언 더 블랙벨트 타임스퀘어 영등포점,"키즈카페,실내놀이터",서울 영등포구 영중로 15 4층,놀거리가 많아요,공간이 넓어요,매장이 청결해요,안전하게 관리해요,친절해요
문래방구,"카페,디저트",서울 영등포구 경인로 763 문래방구,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,디저트가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
헬로밀가루 영등포점,"키즈카페,실내놀이터",서울 영등포구 경인로 775 에이스하이테크시티 3동 101호,부모도 쉬기 좋아요,테마가 재미있어요,놀거리가 많아요,친절해요,매장이 청결해요
영등포전통시장,시장,서울 영등포구 영등포동5가 33-29,친절해요,볼거리가 많아요,주차하기 편해요,시설이 깔끔해요,종류가 다양해요
러스트 베이커리,베이커리,서울 영등포구 경인로79길 15 러스트베이커리,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
맨홀커피,카페,서울 영등포구 영신로 247 B동상가 지하 1층,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요
칼리프하우스 문래,브런치카페,서울 영등포구 도림로139길 2-2 칼리프하우스 문래,인테리어가 멋져요,음식이 맛있어요,대화하기 좋아요,친절해요,특별한 메뉴가 있어요
입허전,베이커리,서울 영등포구 도림로139길 12-1 2층 입허전,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
한정선 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 더현대서울 지하1층,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,음식이 맛있어요
테디뵈르하우스 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 B1,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
폴앤폴리나 여의도점,베이커리,서울 영등포구 의사당대로 108 아일렉스 상가,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,건강한 맛이에요
대림중앙시장,시장,서울 영등포구 디지털로37나길 21,볼거리가 많아요,친절해요,컨셉이 독특해요,시설이 깔끔해요,주차하기 편해요
-,-,-,-,-,-,-,-
고디바베이커리 더현대서울점,초콜릿전문점,서울 영등포구 여의대로 108 더현대서울 B1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,비싼 만큼 가치있어요,커피가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
리틀마운틴 롯데백화점 영등포점,"키즈카페,실내놀이터",서울 영등포구 경인로 846 8층,가격이 합리적이에요,놀거리가 많아요,친절해요,매장이 청결해요,주차하기 편해요
코끼리베이글 영등포,베이글,서울 영등포구 선유로 176 코끼리베이글,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
하얀과자점,"카페,디저트",서울 영등포구 국제금융로 70 미원빌딩 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,매장이 청결해요
카페1953위드오드리,"카페,디저트",서울 영등포구 경인로77가길 12,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
레인보우스타 영등포홈플러스점,"키즈카페,실내놀이터",서울 영등포구 당산로 42 지하2층,놀거리가 많아요,매장이 청결해요,친절해요,공간이 넓어요,테마가 재미있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
모닝캄커피랩 당산점,"카페,디저트",서울 영등포구 당산로35길 1 1층 모닝캄커피랩,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
로스톤,"카페,디저트",서울 영등포구 대림로31가길 13 1-4층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
평화,"카페,디저트",서울 영등포구 도림로131길 13 1층 평화,인테리어가 멋져요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,친절해요
아도,차,서울 영등포구 도림로125길 16 1층 아도,차가 맛있어요,친절해요,차분한 분위기에요,인테리어가 멋져요,아늑해요
카페꼼마 여의도점,"카페,디저트",서울 영등포구 국제금융로8길 16 1층 카페꼼마,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,디저트가 맛있어요,음료가 맛있어요
강변서재,"카페,디저트",서울 영등포구 의사당대로 1 국회 사랑재 옆 건물 2층,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
크리스피크림도넛 영등포점,도넛,서울 영등포구 경인로 846 영등포역사 3층,디저트가 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
브로트아트,베이커리,서울 영등포구 국제금융로7길 3 수정상가 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,디저트가 맛있어요
이스트우드 도림점,"카페,디저트",서울 영등포구 도신로17길 6,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
리브레리,"카페,디저트",서울 영등포구 양산로25길 3 1층(당산동3가),집중하기 좋아요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요
쉐프조 문래본점,케이크전문,"서울 영등포구 문래로 98 한영빌딩 104호,105호,106호",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,선물하기 좋아요
-,-,-,-,-,-,-,-
피크니크 선유도점,베이커리,서울 영등포구 양평로22길 2-1 1층,커피가 맛있어요,인테리어가 멋져요,빵이 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
폰트 문래점,"카페,디저트",서울 영등포구 경인로77가길 6 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,매장이 청결해요
커피리브레 영등포 타임스퀘어점,"카페,디저트",서울 영등포구 영중로 15 타임스퀘어 112호,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
스타벅스 영등포신길점,카페,"서울 영등포구 신길로 137 (신길동) 1,2층",커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
아티제 여의도점,카페,서울 영등포구 국제금융로2길 17,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
모키 문래,"카페,디저트",서울 영등포구 경인로 732 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
카페 언덕위에,"카페,디저트","서울 영등포구 신길로 203 1층, 2층",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
카페솔트,"카페,디저트",서울 영등포구 도림로133길 12 1층 카페솔트,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요,특별한 메뉴가 있어요
아트스뉴욕 문래점,"카페,디저트",서울 영등포구 도림로143길 14 1층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
루카스커피,"카페,디저트",서울 영등포구 신풍로25길 6,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
10G,"카페,디저트",서울 영등포구 국제금융로 10 1층 로비,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
스타벅스 여의도IFC몰(L1)R점,카페,서울 영등포구 국제금융로 10 (여의도동) 지하1층 178호,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
문래 마이스페이스,"카페,디저트",서울 영등포구 도림로141길 15 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
브링미커피 브루어스,"카페,디저트",서울 영등포구 선유로33길 15 에이스테크노타워 제지하층 비101호,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,집중하기 좋아요
오핀카페 영등포점,카페,서울 영등포구 문래로28길 25 영시티S타워 로비층,커피가 맛있어요,디저트가 맛있어요,매장이 청결해요,대화하기 좋아요,음료가 맛있어요
서울커피,"카페,디저트",서울 영등포구 국제금융로 86 롯데캐슬 아이비 1층 101호 서울커피,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
커피랩스로스터리 문래하우스디점,카페,서울 영등포구 선유로3길 10 문래하우스디비즈 111호,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,가성비가 좋아요,대화하기 좋아요
카페팜스프링스,"카페,디저트",서울 영등포구 도신로60길 22-3 카페팜스프링스,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요
파리크라상 여의도 2호점,베이커리,서울 영등포구 국회대로74길 12 남중빌딩 1층,빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
스페셜티스튜디오 문래점,카페,서울 영등포구 도림로139길 4 1층,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
셰프의 아이들,베이커리,"서울 영등포구 당산로 102 1층, 2층",빵이 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
진을림,"카페,디저트","서울 영등포구 신풍로 31-14 1,2층",인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
나폴레옹제과점 IFC몰점,베이커리,서울 영등포구 국제금융로 10 L2층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
스타벅스 문래역점,카페,서울 영등포구 당산로 34 (문래동3가),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
뉴오리진 IFC몰점,브런치카페,서울 영등포구 국제금융로 10 IFC몰 L1,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요
카페길,"카페,디저트",서울 영등포구 영등포로67가길 9 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요
마호가니 여의도점,"카페,디저트",서울 영등포구 여의대로 66 iM증권빌딩 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,인테리어가 멋져요
스타벅스 여의도역R점,카페,서울 영등포구 의사당대로 83 (여의도동) 1층,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,디저트가 맛있어요
빌리엔젤 여의도점,케이크전문,서울 영등포구 국제금융로2길 24 1층 1호,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요,친절해요
팀홀튼 여의도TP타워점,카페,서울 영등포구 여의도동 의사당대로 96 1층 팀홀튼 여의도TP타워점,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
카멜커피 더현대 서울,"카페,디저트",서울 영등포구 여의대로 108 지하 1층,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,디저트가 맛있어요
엘리스파이 여의도점,베이커리,서울 영등포구 국제금융로 78 홍우빌딩 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
빵쌤 영등포점,베이커리,"서울 영등포구 경인로 853 1, 2층",빵이 맛있어요,커피가 맛있어요,친절해요,매장이 넓어요,인테리어가 멋져요
소맥베이커리 타임스퀘어,베이커리,서울 영등포구 영중로 9 지하 1층 소맥베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
